Year,Make,Model,Category,inventory_id,created_at
2004,Toyota,Tundra Double Cab,Pickup,1,2003-04-07
2015,Land Rover,Discovery Sport,SUV,2,2015-12-01
2005,MINI,Cooper,Hatchback,3,2020-07-11
2007,Pontiac,Grand Prix,Sedan,4,2012-09-08
2008,Lincoln,Town Car,Sedan,5,2008-01-31
1996,INFINITI,J,Sedan,6,2003-12-08
2007,Ford,Expedition EL,SUV,754,2020-10-04
2018,Nissan,TITAN XD King Cab,Pickup,8,2011-08-09
2004,Honda,Civic,"Coupe, Sedan, Hatchback",9,2021-01-12
2003,Honda,Civic,"Coupe, Sedan, Hatchback",10,2016-11-09
2020,Subaru,WRX,Sedan,1079,2013-08-30
2009,Honda,Ridgeline,Pickup,12,2007-10-11
2006,Ford,Ranger Regular Cab,Pickup,13,2003-01-24
2013,Toyota,FJ Cruiser,SUV,148,2007-01-07
1998,Lincoln,Continental,Sedan,15,2010-08-11
2010,Lexus,RX,SUV,16,2012-07-13
2004,Mitsubishi,Lancer,"Sedan, Wagon",17,2021-07-01
2003,Oldsmobile,Aurora,Sedan,18,2003-01-17
2000,Mercedes-Benz,SLK-Class,Convertible,19,2010-10-29
1999,GMC,Sierra 1500 Regular Cab,Pickup,20,2008-12-29
2005,INFINITI,G,"Coupe, Sedan",21,2007-01-13
2011,Cadillac,Escalade EXT,Pickup,22,2023-04-15
2009,Pontiac,G6 (2009.5),"Coupe, Sedan, Convertible",23,2010-03-09
2012,Volvo,C70,Convertible,24,2005-12-16
2011,Audi,TT,"Coupe, Convertible",25,2001-03-10
2011,Ram,3500 Mega Cab,Pickup,1528,2004-11-21
2012,BMW,1 Series,"Convertible, Coupe",931,2018-12-23
2012,Subaru,Forester,SUV,28,2005-07-04
2017,Mercedes-Benz,Mercedes-AMG GLE,SUV,29,2012-07-15
2011,GMC,Savana 3500 Cargo,Van/Minivan,1889,2013-10-10
2009,Ferrari,599 GTB Fiorano,Coupe,31,2020-05-22
1996,Chevrolet,Impala,Sedan,852,2023-11-16
2006,Subaru,Forester,SUV,33,2000-01-04
2006,Land Rover,Range Rover,SUV,34,2021-11-18
2013,Chevrolet,Express 3500 Cargo,Van/Minivan,1362,2006-10-19
2000,Ford,Ranger Regular Cab,Pickup,36,2022-11-19
1998,Dodge,Ram Wagon 3500,Van/Minivan,37,2020-06-24
2015,Chevrolet,Captiva Sport,SUV,38,2016-02-23
2007,Mercedes-Benz,E-Class,"Sedan, Wagon",39,2002-06-26
2018,Honda,Civic,"Coupe, Hatchback, Sedan",40,2010-02-14
2016,Volkswagen,Jetta,Sedan,41,2020-08-13
2005,Ford,Explorer,SUV,42,2008-02-06
2000,Isuzu,Amigo,SUV,43,2020-11-20
2014,MINI,Coupe,Coupe,44,2002-10-04
2003,Toyota,Tacoma Regular Cab,Pickup,45,2006-12-27
2006,Chevrolet,HHR,Wagon,46,2007-06-20
1995,Oldsmobile,98,Sedan,47,2021-06-21
2018,Mitsubishi,Mirage,Hatchback,48,2012-03-25
1997,GMC,Savana 3500 Cargo,Van/Minivan,49,2003-09-15
1995,Chevrolet,1500 Extended Cab,Pickup,50,2011-11-24
2003,GMC,Sierra 2500 Regular Cab,Pickup,51,2003-01-23
2017,Hyundai,Sonata Plug-in Hybrid,Sedan,52,2001-11-20
2019,Maserati,Ghibli,Sedan,53,2022-09-06
2017,Honda,Ridgeline,Pickup,54,2019-10-10
1997,Volvo,960,"Sedan, Wagon",55,2020-04-08
2010,Ford,Mustang,"Coupe, Convertible",56,2003-05-01
2000,Dodge,Intrepid,Sedan,393,2001-08-06
2001,Acura,TL,Sedan,58,2014-11-25
2008,Chrysler,Pacifica,Wagon,59,2008-03-08
2015,Audi,R8,"Coupe, Convertible",1925,2005-05-22
2003,Toyota,Prius,Sedan,61,2020-07-09
2020,GMC,Acadia,SUV,62,2011-03-03
2002,Ford,Explorer Sport,SUV,63,2011-06-21
2012,GMC,Savana 1500 Passenger,Van/Minivan,64,2023-04-26
1999,Plymouth,Grand Voyager,Van/Minivan,1720,2005-02-11
1998,Jaguar,XK,"Coupe, Convertible",66,2008-07-14
2016,Hyundai,Santa Fe Sport,SUV,67,2005-02-19
2005,Dodge,Ram 3500 Quad Cab,Pickup,68,2008-05-02
2011,GMC,Savana 3500 Passenger,Van/Minivan,1351,2004-02-17
2013,Honda,Accord,"Sedan, Coupe",70,2021-04-25
2011,Nissan,Maxima,Sedan,71,2011-10-18
2009,Chrysler,300,Sedan,72,2020-03-06
2013,Lexus,LS,Sedan,73,2003-01-12
2004,Nissan,Sentra,Sedan,74,2018-03-31
1994,Jeep,Grand Cherokee,SUV,1793,2007-07-26
2017,Nissan,NV3500 HD Passenger,Van/Minivan,76,2012-06-08
2017,FIAT,500c,Convertible,77,2008-06-22
2008,Porsche,Boxster,Convertible,78,2020-03-27
2002,Dodge,Ram Wagon 3500,Van/Minivan,560,2018-08-21
2010,Pontiac,G6,Sedan,80,2021-09-19
2016,Mercedes-Benz,Mercedes-AMG GLE,SUV,81,2001-04-05
2011,Chevrolet,Suburban 1500,SUV,82,2000-01-13
2010,Audi,S4,Sedan,1775,2015-05-23
1992,BMW,8 Series,Coupe,84,2022-04-07
1997,Lexus,SC,Coupe,85,2016-10-29
2000,Lincoln,Navigator,SUV,86,2012-08-19
2011,Nissan,Titan King Cab,Pickup,87,2017-12-05
2017,Kia,Cadenza,Sedan,88,2015-10-21
2011,Audi,A3,Wagon,89,2010-08-29
2008,Ford,Expedition,SUV,90,2015-02-23
2003,GMC,Sierra 1500 HD Crew Cab,Pickup,91,2016-06-02
1998,INFINITI,I,Sedan,92,2010-01-12
2017,GMC,Sierra 2500 HD Regular Cab,Pickup,93,2003-07-04
2009,Land Rover,LR2,SUV,94,2011-06-11
2017,Ram,2500 Mega Cab,Pickup,95,2011-11-16
1997,Isuzu,Hombre Regular Cab,Pickup,96,2004-04-05
1993,Nissan,Altima,Sedan,97,2022-05-26
2001,GMC,Safari Cargo,Van/Minivan,98,2009-07-08
2001,Lincoln,Town Car,Sedan,99,2009-01-23
1994,Hyundai,Elantra,Sedan,100,2008-05-07
2014,Nissan,Maxima,Sedan,101,2017-09-11
1994,Mercedes-Benz,E-Class,"Coupe, Convertible, Wagon, Sedan",102,2017-09-23
2011,Volvo,XC60,SUV,103,2010-05-06
2015,Jaguar,XF,Sedan,104,2014-10-10
1992,Dodge,Dakota Club Cab,Pickup,105,2008-09-13
2019,Hyundai,Sonata Plug-in Hybrid,Sedan,106,2011-11-30
2016,Ford,Transit 350 HD Van,Van/Minivan,107,2016-04-02
1997,GMC,Savana 1500 Cargo,Van/Minivan,108,2018-03-14
1997,Geo,Metro,"Coupe, Sedan",109,2023-07-27
2006,Lincoln,Town Car,Sedan,110,2006-04-13
2016,Chevrolet,Malibu Limited,Sedan,111,2022-07-30
2015,Mercedes-Benz,SLS-Class,"Coupe, Convertible",112,2003-02-04
2009,Chevrolet,Equinox,SUV,291,2009-12-26
2014,Volkswagen,GTI,Hatchback,114,2021-03-02
2009,Audi,Q5,SUV,115,2000-02-28
2019,Kia,Sorento,SUV,116,2005-11-08
1998,Honda,Passport,SUV,117,2011-09-09
1995,Jeep,Wrangler,SUV,452,2014-10-03
1994,Saab,900,"Coupe, Hatchback, Convertible",119,2010-07-06
1992,INFINITI,Q,Sedan,120,2010-01-18
2017,Mercedes-Benz,Mercedes-AMG GLE Coupe,SUV,121,2011-03-02
2017,Hyundai,Tucson,SUV,122,2003-08-08
2013,BMW,M5,Sedan,1679,2019-02-11
2008,Chevrolet,Aveo,"Hatchback, Sedan",124,2000-10-28
2011,GMC,Savana 1500 Cargo,Van/Minivan,125,2000-01-11
2002,Lexus,LX,SUV,126,2001-07-23
1998,Porsche,911,"Coupe, Convertible",127,2002-06-18
2017,Buick,Verano,Sedan,128,2003-12-04
1996,Volvo,960,"Sedan, Wagon",129,2018-08-02
2000,Mercury,Villager,Van/Minivan,130,2022-06-02
1992,Eagle,Summit,"Sedan, Hatchback, Wagon",131,2007-12-29
2016,Volkswagen,e-Golf,Hatchback,132,2005-04-05
2015,GMC,Sierra 1500 Regular Cab,Pickup,133,2020-12-29
2009,Volvo,S60,Sedan,134,2014-05-31
1995,Chevrolet,Lumina Cargo,Van/Minivan,135,2004-12-27
2008,Nissan,Sentra,Sedan,136,2022-09-11
2016,Chevrolet,Express 3500 Cargo,Van/Minivan,137,2018-10-01
2010,Chevrolet,Express 3500 Cargo,Van/Minivan,992,2007-08-17
2006,Chevrolet,Suburban 2500,SUV,139,2023-08-16
2009,Pontiac,Vibe,Wagon,140,2009-04-05
2001,Ford,F150 Regular Cab,Pickup,141,2009-07-25
1994,Chevrolet,2500 Extended Cab,Pickup,142,2022-09-22
1998,Subaru,Forester,SUV,1208,2008-02-07
2018,Nissan,370Z,"Coupe, Convertible",144,2019-02-21
2017,Chevrolet,Silverado 2500 HD Crew Cab,Pickup,145,2005-08-25
2005,Mitsubishi,Montero,SUV,146,2007-02-26
2013,Ram,3500 Regular Cab,Pickup,147,2001-06-14
2013,Toyota,FJ Cruiser,SUV,148,2007-01-07
2020,Acura,RDX,SUV,149,2021-02-10
1998,Dodge,Stratus,Sedan,150,2004-12-15
1992,Toyota,Corolla,"Sedan, Wagon",151,2017-05-27
2012,Fisker,Karma,Sedan,152,2011-10-23
2002,Nissan,Maxima,Sedan,153,2013-09-14
2005,Ford,Freestar Cargo,Van/Minivan,154,2023-07-05
